Pixel,Thickness (nm),
7992.000000,240.006180,
8012.000000,271.536011,
8014.000000,227.689850,
8032.000000,122.379623,
8059.000000,144.003708,
8074.000000,192.004944,
8080.000000,217.334839,
8095.000000,135.768005,
8098.000000,169.710007,
8109.000000,75.896622,
8122.000000,107.334030,
8129.000000,122.379623,
8141.000000,122.379623,
8154.000000,75.896622,
8164.000000,139.946442,
8182.000000,75.896622,
8192.000000,48.001236,
8233.000000,75.896622,
8243.000000,96.002472,
8277.000000,139.946442,
8289.000000,75.896622,
8341.000000,217.334839,
8342.000000,240.006180,
8346.000000,244.759247,
8347.000000,217.334839,
8359.000000,197.914169,
8457.000000,214.668060,
8460.000000,197.914169,
8470.000000,33.942001,
8479.000000,107.334030,
8492.000000,151.793243,
8498.000000,151.793243,
8525.000000,139.946442,
8541.000000,139.946442,
8553.000000,197.914169,
8575.000000,151.793243,
8598.000000,240.006180,
8599.000000,217.334839,
8637.000000,151.793243,
8646.000000,217.334839,
8652.000000,244.759247,
8665.000000,48.001236,
8680.000000,206.461136,
8682.000000,258.494568,
8686.000000,258.494568,
8687.000000,227.689850,
8704.000000,151.793243,
8722.000000,273.649139,
8733.000000,265.095490,
8734.000000,240.006180,
8760.000000,273.649139,
8801.000000,135.768005,
8813.000000,107.334030,
8828.000000,169.710007,
8858.000000,75.896622,
8880.000000,173.070923,
8893.000000,96.002472,
8911.000000,273.649139,
8913.000000,258.494568,
8914.000000,247.101486,
8916.000000,206.461136,
8917.000000,173.070923,
8972.000000,169.710007,
8977.000000,139.946442,
9006.000000,240.006180,
9007.000000,265.095490,
9011.000000,244.759247,
9012.000000,227.689850,
9056.000000,107.334030,
9084.000000,144.003708,
9085.000000,122.379623,
9098.000000,217.334839,
9102.000000,240.006180,
9103.000000,217.334839,
9118.000000,107.334030,
9123.000000,151.793243,
9134.000000,75.896622,
9145.000000,96.002472,
9154.000000,107.334030,
9164.000000,107.334030,
9178.000000,96.002472,
9187.000000,122.379623,
9206.000000,75.896622,
9216.000000,67.884003,
9246.000000,227.689850,
9256.000000,75.896622,
9268.000000,75.896622,
9301.000000,151.793243,
9313.000000,96.002472,
9331.000000,197.914169,
9334.000000,247.101486,
9367.000000,244.759247,
9369.000000,258.494568,
9384.000000,192.004944,
9455.000000,217.334839,
9481.000000,182.783264,
9485.000000,182.783264,
9493.000000,33.942001,
9503.000000,101.825996,
9516.000000,122.379623,
9523.000000,135.768005,
9550.000000,122.379623,
9566.000000,122.379623,
9577.000000,203.651993,
9599.000000,169.710007,
9621.000000,240.006180,
9662.000000,169.710007,
9663.000000,173.070923,
9670.000000,244.759247,
9676.000000,258.494568,
9689.000000,67.884003,
9703.000000,169.710007,
9707.000000,244.759247,
9709.000000,279.892883,
9729.000000,139.946442,
9746.000000,290.000580,
9756.000000,265.095490,
9785.000000,288.007416,
9825.000000,135.768005,
9837.000000,107.334030,
9852.000000,169.710007,
9866.000000,169.710007,
9867.000000,197.914169,
9868.000000,214.668060,
9881.000000,75.896622,
9904.000000,169.710007,
9917.000000,107.334030,
9942.000000,151.793243,
9957.000000,169.710007,
9958.000000,151.793243,
9959.000000,139.946442,
9960.000000,107.334030,
9996.000000,144.003708,
10002.000000,122.379623,
10033.000000,265.095490,
